family	split	n_sequences
RF00001	train	402207
RF00002	train	14790
RF00003	train	29072
RF00004	train	57873
RF00005	train	3641320
RF00006	test	2481
RF00007	train	1740
RF00008	train	609
RF00009	train	3600
RF00010	train	53192
RF00011	train	4108
RF00012	train	15207
RF00013	val	26020
RF00014	train	157
RF00015	train	24635
RF00016	train	2964
RF00017	train	327200
RF00018	train	598
RF00019	train	19972
RF00020	test	19279
RF00021	train	578
RF00022	train	628
RF00023	train	47443
RF00024	train	517
RF00025	val	22
RF00026	train	159002
RF00027	train	1985
RF00028	train	3991
RF00029	train	21839
RF00030	train	3165
RF00031	train	2319
RF00032	train	21010
RF00033	train	181
RF00034	train	319
RF00035	train	108
RF00036	train	97
RF00037	train	2283
RF00038	test	8
RF00039	val	11
RF00040	val	529
RF00041	train	59
RF00042	train	132
RF00043	train	55
RF00044	test	2
RF00045	train	2090
RF00046	train	453
RF00047	train	709
RF00048	test	54
RF00049	train	2815
RF00050	train	19839
RF00051	train	1476
RF00052	train	29
RF00053	train	1227
RF00054	train	691
RF00056	train	1518
RF00057	train	796
RF00058	train	66
RF00059	val	63358
RF00060	train	52
RF00061	train	44
RF00062	val	46
RF00063	val	41
RF00064	train	111
RF00065	train	44
RF00066	val	7033
RF00067	train	1569
RF00068	val	414
RF00069	train	2034
RF00070	train	317
RF00071	train	509
RF00072	test	349
RF00073	train	1033
RF00074	train	935
RF00075	train	2062
RF00076	train	1129
RF00077	train	43
RF00078	test	285
RF00079	train	436
RF00080	train	3133
RF00081	val	472
RF00082	train	449
RF00083	train	548
RF00084	train	229
RF00085	val	154
RF00086	train	159
RF00087	train	361
RF00088	test	242
RF00089	train	957
RF00090	train	1240
RF00091	train	1768
RF00092	train	929
RF00093	train	1661
RF00094	train	41
RF00095	train	201
RF00096	val	1386
RF00097	train	208245
RF00099	test	901
RF00100	train	46518
RF00101	train	552
RF00102	train	63
RF00103	train	1487
RF00104	train	1220
RF00105	train	2066
RF00106	train	212
RF00107	train	22
RF00108	train	1819
RF00109	val	370
RF00110	train	245
RF00111	train	584
RF00112	val	245
RF00113	val	227
RF00114	val	2587
RF00115	test	108
RF00116	train	6
RF00117	train	10
RF00119	val	9
RF00121	train	78
RF00122	val	4
RF00124	test	16
RF00125	train	6
RF00126	train	133
RF00127	test	4087
RF00128	train	557
RF00129	train	472
RF00130	train	415
RF00131	train	1401
RF00132	test	990
RF00133	train	1357
RF00134	train	643
RF00135	train	735
RF00136	train	224
RF00137	test	858
RF00138	test	999
RF00139	train	1228
RF00140	val	1349
RF00142	train	316
RF00143	train	56
RF00144	train	387
RF00145	test	454
RF00147	train	1030
RF00149	train	1688
RF00150	train	581
RF00151	train	1910
RF00153	test	522
RF00154	train	551
RF00155	val	919
RF00156	test	4241
RF00157	train	497
RF00158	train	463
RF00159	train	43
RF00160	train	1074
RF00161	train	13
RF00162	val	34685
RF00163	train	188188
RF00164	train	43
RF00165	train	68
RF00166	train	826
RF00167	val	13151
RF00168	test	15562
RF00169	train	29282
RF00170	test	85
RF00171	test	19
RF00172	test	267
RF00173	val	3
RF00174	train	83669
RF00175	test	71
RF00176	test	23
RF00177	train	39338
RF00178	train	508
RF00179	test	88
RF00180	test	59
RF00181	train	3668
RF00182	val	7
RF00183	val	94
RF00184	train	4
RF00185	train	75
RF00186	train	473
RF00187	test	253
RF00188	train	953
RF00189	train	114
RF00190	train	1126
RF00191	train	1527
RF00192	train	3
RF00193	train	9
RF00194	train	35
RF00195	train	619
RF00196	test	4
