family	n_sequences_total	n_sequences_sampled
RF00001	402207	10
RF00002	14790	10
RF00003	29072	10
RF00004	57873	10
RF00005	3641320	10
RF00006	2481	10
RF00007	1740	10
RF00008	609	10
RF00009	3600	10
RF00010	53192	10
RF00011	4108	10
RF00012	15207	10
RF00013	26020	10
RF00014	157	10
RF00015	24635	10
RF00016	2964	10
RF00017	327200	10
RF00018	598	10
RF00019	19972	10
RF00020	19279	10
RF00021	578	10
RF00022	628	10
RF00023	47443	10
RF00024	517	10
RF00025	22	10
RF00026	159002	10
RF00027	1985	10
RF00028	3991	10
RF00029	21839	10
RF00030	3165	10
RF00031	2319	10
RF00032	21010	10
RF00033	181	10
RF00034	319	10
RF00035	108	10
RF00036	97	10
RF00037	2283	10
RF00038	8	8
RF00039	11	10
RF00040	529	10
RF00041	59	10
RF00042	132	10
RF00043	55	10
RF00044	2	2
RF00045	2090	10
RF00046	453	10
RF00047	709	10
RF00048	54	10
RF00049	2815	10
RF00050	19839	10
RF00051	1476	10
RF00052	29	10
RF00053	1227	10
RF00054	691	10
RF00056	1518	10
RF00057	796	10
RF00058	66	10
RF00059	63358	10
RF00060	52	10
RF00061	44	10
RF00062	46	10
RF00063	41	10
RF00064	111	10
RF00065	44	10
RF00066	7033	10
RF00067	1569	10
RF00068	414	10
RF00069	2034	10
RF00070	317	10
RF00071	509	10
RF00072	349	10
RF00073	1033	10
RF00074	935	10
RF00075	2062	10
RF00076	1129	10
RF00077	43	10
RF00078	285	10
RF00079	436	10
RF00080	3133	10
RF00081	472	10
RF00082	449	10
RF00083	548	10
RF00084	229	10
RF00085	154	10
RF00086	159	10
RF00087	361	10
RF00088	242	10
RF00089	957	10
RF00090	1240	10
RF00091	1768	10
RF00092	929	10
RF00093	1661	10
RF00094	41	10
RF00095	201	10
RF00096	1386	10
RF00097	208245	10
RF00099	901	10
RF00100	46518	10
RF00101	552	10
RF00102	63	10
RF00103	1487	10
RF00104	1220	10
RF00105	2066	10
RF00106	212	10
RF00107	22	10
RF00108	1819	10
RF00109	370	10
RF00110	245	10
RF00111	584	10
RF00112	245	10
RF00113	227	10
RF00114	2587	10
RF00115	108	10
RF00116	6	6
RF00117	10	10
RF00119	9	9
RF00121	78	10
RF00122	4	4
RF00124	16	10
RF00125	6	6
RF00126	133	10
RF00127	4087	10
RF00128	557	10
RF00129	472	10
RF00130	415	10
RF00131	1401	10
RF00132	990	10
RF00133	1357	10
RF00134	643	10
RF00135	735	10
RF00136	224	10
RF00137	858	10
RF00138	999	10
RF00139	1228	10
RF00140	1349	10
RF00142	316	10
RF00143	56	10
RF00144	387	10
RF00145	454	10
RF00147	1030	10
RF00149	1688	10
RF00150	581	10
RF00151	1910	10
RF00153	522	10
RF00154	551	10
RF00155	919	10
RF00156	4241	10
RF00157	497	10
RF00158	463	10
RF00159	43	10
RF00160	1074	10
RF00161	13	10
RF00162	34685	10
RF00163	188188	10
RF00164	43	10
RF00165	68	10
RF00166	826	10
RF00167	13151	10
RF00168	15562	10
RF00169	29282	10
RF00170	85	10
RF00171	19	10
RF00172	267	10
RF00173	3	3
RF00174	83669	10
RF00175	71	10
RF00176	23	10
RF00177	39338	10
RF00178	508	10
RF00179	88	10
RF00180	59	10
RF00181	3668	10
RF00182	7	7
RF00183	94	10
RF00184	4	4
RF00185	75	10
RF00186	473	10
RF00187	253	10
RF00188	953	10
RF00189	114	10
RF00190	1126	10
RF00191	1527	10
RF00192	3	3
RF00193	9	9
RF00194	35	10
RF00195	619	10
RF00196	4	4
RF00198	185	10
RF00199	515	10
RF00200	644	10
RF00201	911	10
RF00202	398	10
RF00203	606	10
RF00204	713	10
RF00205	375	10
RF00206	486	10
RF00207	16	10
RF00208	36	10
RF00209	25	10
RF00210	104	10
RF00211	1461	10
RF00212	839	10
RF00213	1777	10
RF00214	103	10
RF00215	30	10
RF00216	139	10
RF00217	284	10
RF00218	553	10
RF00220	9	9
RF00221	175	10
RF00222	241	10
RF00223	223	10
RF00224	90	10
RF00225	7	7
RF00226	226	10
RF00227	20	10
RF00228	20	10
RF00229	100	10
RF00230	134648	10
RF00231	674	10
RF00232	98	10
RF00233	60	10
RF00234	4204	10
RF00235	5	5
RF00236	52	10
RF00237	1266	10
RF00238	108	10
RF00239	519	10
RF00240	68	10
RF00241	1145	10
RF00242	46	10
RF00243	9	9
RF00244	1089	10
RF00245	751	10
RF00246	640	10
RF00247	954	10
RF00248	391	10
RF00249	241	10
RF00250	64	10
RF00251	602	10
RF00252	19	10
RF00253	194	10
RF00254	2576	10
RF00255	246	10
RF00256	533	10
RF00257	487	10
RF00258	1117	10
RF00259	114	10
RF00260	56	10
RF00261	109	10
RF00262	32	10
RF00263	793	10
RF00264	598	10
RF00265	702	10
RF00266	502	10
RF00267	579	10
RF00268	43	10
RF00270	712	10
RF00271	652	10
RF00272	487	10
RF00273	875	10
RF00274	504	10
RF00275	551	10
RF00276	229	10
RF00277	700	10
RF00278	986	10
RF00279	1068	10
RF00280	346	10
RF00281	554	10
RF00282	108	10
RF00283	281	10
RF00284	630	10
RF00285	162	10
RF00286	755	10
RF00287	143	10
RF00288	551	10
RF00289	314	10
RF00290	2	2
RF00291	67	10
RF00292	22	10
RF00293	8	8
RF00294	21	10
RF00295	25	10
RF00296	634	10
RF00300	435	10
RF00301	52	10
RF00302	895	10
RF00303	772	10
