metric,model,n,mean,median,sd,mean_ci95_low,mean_ci95_high,paired_wilcoxon_n,paired_wilcoxon_statistic,paired_wilcoxon_p
Predicted base pairs,RNAfold,11238,32.87720234917245,28.0,19.987164474366015,32.5135144153764,33.23382274426054,11238,820197.5,0.0
Predicted base pairs,Retrained SincFold,11238,18.90460936109628,16.0,13.377194798657905,18.665498754226732,19.163939313045027,11238,820197.5,0.0
Predicted/reference pair ratio,RNAfold,8658,1.8544068120433526,1.2765957446808511,2.1662931455635963,1.8118949455674978,1.8986117458300404,8658,1545085.5,0.0
Predicted/reference pair ratio,Retrained SincFold,8658,1.0754032431171316,0.8421052631578947,1.1451237210981626,1.0512861101888096,1.1002387187140497,8658,1545085.5,0.0
False positives/reference pair,RNAfold,8658,1.3219945415954055,0.7894736842105263,2.238447602871173,1.2756237417795657,1.3694293878695791,8658,4530705.5,0.0
False positives/reference pair,Retrained SincFold,8658,0.6857937897175895,0.42857142857142855,1.0774874708296978,0.6628402755755713,0.7085106552917567,8658,4530705.5,0.0
False negatives/reference pair,RNAfold,8658,0.4675877295520531,0.4166666666666667,0.3777831819096923,0.4594167926444298,0.4751313327198829,8658,4500154.0,0.0
False negatives/reference pair,Retrained SincFold,8658,0.6103905466004577,0.6416502393691917,0.3170130997175012,0.6039176856356416,0.6169733294870461,8658,4500154.0,0.0
Precision,RNAfold,11238,0.3155029734204421,0.2195121951219512,0.3309418531866962,0.30941436253880905,0.3214796693312127,11238,13824968.5,0.2718557526063454
Precision,Retrained SincFold,11238,0.31527468403037007,0.2666666666666666,0.312922079379858,0.3094887200474024,0.32109206808271057,11238,13824968.5,0.2718557526063454
Recall,RNAfold,11238,0.4101820108149426,0.3529411764705882,0.4001161063789146,0.402673520451317,0.4176474724519943,11238,4494794.0,0.0
Recall,Retrained SincFold,11238,0.30016360985346485,0.2121212121212121,0.322914906103662,0.29416288481233177,0.3062523143893596,11238,4494794.0,0.0
F1,RNAfold,11238,0.34655379093065186,0.2666666666666666,0.34959037527735926,0.3402729619042775,0.3530135095216027,11238,9346669.5,4.247968481884466e-147
F1,Retrained SincFold,11238,0.28771851153908595,0.2424242424242424,0.28817537999877113,0.2825411668713515,0.2931062645059793,11238,9346669.5,4.247968481884466e-147
MCC,RNAfold,11238,0.3518732985368872,0.28618122338837804,0.3527929469708537,0.34554260849252405,0.3583309060018701,11238,12974257.5,7.335168259600825e-126
MCC,Retrained SincFold,11238,0.2950322112344362,0.25761728717930976,0.2927970063625733,0.2895712455541407,0.3003349435928661,11238,12974257.5,7.335168259600825e-126
