family,model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
RF00006,sincfold_published,2481,2481,0,0,1.0,0.5929519510418086,0.6052897985337623
RF00006,sincfold_retrained,2481,2481,0,0,1.0,0.3991859719462141,0.40335510611096376
RF00020,sincfold_published,19279,19279,0,0,1.0,0.6563473353038877,0.6700538322313975
RF00020,sincfold_retrained,19279,19279,0,0,1.0,0.5002595960248841,0.5046796380364781
RF00038,sincfold_published,8,8,0,0,1.0,0.7982309281169124,0.80231858508202
RF00038,sincfold_retrained,8,8,0,0,1.0,0.25008445681820296,0.2608350264887243
RF00044,sincfold_published,2,2,0,0,1.0,0.14285714285714285,0.19134183529156523
RF00044,sincfold_retrained,2,2,0,0,1.0,0.13172606568832984,0.1542591835802561
RF00048,sincfold_published,54,54,0,0,1.0,0.5545203555142739,0.5585505426598685
RF00048,sincfold_retrained,54,54,0,0,1.0,0.5101651895531416,0.5205249659276072
RF00072,sincfold_published,349,349,0,0,1.0,0.6037924097454684,0.6106776832624852
RF00072,sincfold_retrained,349,349,0,0,1.0,0.40852802645417113,0.4109654470183159
RF00078,sincfold_published,285,285,0,0,1.0,0.7076075193572671,0.7193713229684201
RF00078,sincfold_retrained,285,285,0,0,1.0,0.5951909635718363,0.5972303205059175
RF00088,sincfold_published,242,242,0,0,1.0,0.047201174291597245,0.05356875583206331
RF00088,sincfold_retrained,242,242,0,0,1.0,0.1150318090666195,0.12060293798774117
RF00099,sincfold_published,901,901,0,0,1.0,0.23021472922162697,0.25290759980497124
RF00099,sincfold_retrained,901,901,0,0,1.0,0.21291812178412733,0.280874715560875
RF00115,sincfold_published,108,108,0,0,1.0,0.5278575173135116,0.5552562790081385
RF00115,sincfold_retrained,108,108,0,0,1.0,0.581322745831885,0.5903160409068238
RF00124,sincfold_published,16,16,0,0,1.0,0.5049828461096355,0.5101294040779499
RF00124,sincfold_retrained,16,16,0,0,1.0,0.47372280902130326,0.481036795182916
RF00127,sincfold_published,4087,4087,0,0,1.0,0.6861289714827519,0.6980144976648998
RF00127,sincfold_retrained,4087,4087,0,0,1.0,0.5334499678466131,0.5374165578135984
RF00132,sincfold_published,990,990,0,0,1.0,0.35887910918335364,0.4005718555640625
RF00132,sincfold_retrained,990,990,0,0,1.0,0.29266849238545645,0.38617057503310354
RF00137,sincfold_published,858,858,0,0,1.0,0.6490350114033495,0.6635919861961563
RF00137,sincfold_retrained,858,858,0,0,1.0,0.5373663779158954,0.5524200018602605
RF00138,sincfold_published,999,999,0,0,1.0,0.3733987710834539,0.3936809321751153
RF00138,sincfold_retrained,999,999,0,0,1.0,0.4023181656496484,0.4046327786710056
RF00145,sincfold_published,454,454,0,0,1.0,0.27892994794666914,0.2876285965562754
RF00145,sincfold_retrained,454,454,0,0,1.0,0.11660595103331904,0.12011986280812943
RF00153,sincfold_published,522,522,0,0,1.0,0.3846268703611856,0.39998500188445857
RF00153,sincfold_retrained,522,522,0,0,1.0,0.37689678301379864,0.4318249520686147
RF00156,sincfold_published,4241,4241,0,0,1.0,0.3746708469093168,0.3834151567418189
RF00156,sincfold_retrained,4241,4241,0,0,1.0,0.16773657563405223,0.1702492150739273
RF00168,sincfold_published,15562,15562,0,0,1.0,0.5274021466122434,0.5523639851628375
RF00168,sincfold_retrained,15562,15562,0,0,1.0,0.5182698713965601,0.5237768568308471
RF00170,sincfold_published,85,85,0,0,1.0,0.5272054579988884,0.5601212215097408
RF00170,sincfold_retrained,85,85,0,0,1.0,0.31389134266729957,0.31994836845256586
RF00171,sincfold_published,19,19,0,0,1.0,0.4535543351959033,0.4762334729349216
RF00171,sincfold_retrained,19,19,0,0,1.0,0.24923971399314948,0.2572448723606828
RF00172,sincfold_published,267,267,0,0,1.0,0.6380199713527969,0.6654652511826805
RF00172,sincfold_retrained,267,267,0,0,1.0,0.2835423867987362,0.322673031025723
RF00175,sincfold_published,71,71,0,0,1.0,0.8426190491510728,0.8477686745881473
RF00175,sincfold_retrained,71,71,0,0,1.0,0.6653016798811924,0.6677479949640037
RF00176,sincfold_published,23,23,0,0,1.0,0.38073873568033745,0.4300392140508461
RF00176,sincfold_retrained,23,23,0,0,1.0,0.5569318984309348,0.5724406599009716
RF00179,sincfold_published,88,88,0,0,1.0,0.31188739448668473,0.3519528351213985
RF00179,sincfold_retrained,88,88,0,0,1.0,0.3375578245033673,0.3457142969042953
RF00180,sincfold_published,59,59,0,0,1.0,0.16766773715926253,0.1694382384611997
RF00180,sincfold_retrained,59,59,0,0,1.0,0.05696125907990314,0.057714898089242
RF00187,sincfold_published,253,253,0,0,1.0,0.5625018099918565,0.5878442823512248
RF00187,sincfold_retrained,253,253,0,0,1.0,0.5593427663035015,0.6216547906149821
RF00196,sincfold_published,4,4,0,0,1.0,0.9664031620553359,0.966979042898807
RF00196,sincfold_retrained,4,4,0,0,1.0,0.9399358974358974,0.9397678182272375
RF00198,sincfold_published,185,185,0,0,1.0,0.7347855740439214,0.7476536279348246
RF00198,sincfold_retrained,185,185,0,0,1.0,0.5453431686961865,0.5476394508910526
RF00201,sincfold_published,911,911,0,0,1.0,0.36284901752260984,0.37848110861127165
RF00201,sincfold_retrained,911,911,0,0,1.0,0.3396095488947888,0.3701908142122268
RF00214,sincfold_published,103,103,0,0,1.0,0.3358803495150889,0.37713656844362226
RF00214,sincfold_retrained,103,103,0,0,1.0,0.2180263070762905,0.23067829553165925
RF00215,sincfold_published,30,30,0,0,1.0,0.48948575123212823,0.49823378246997607
RF00215,sincfold_retrained,30,30,0,0,1.0,0.04919369898497033,0.053796445031563514
RF00218,sincfold_published,553,553,0,0,1.0,0.3505656937293063,0.37267024225868045
RF00218,sincfold_retrained,553,553,0,0,1.0,0.32873633797470764,0.40651538884965044
