family,model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
RF00006,transpred,2481,2481,0,0,1.0,0.2947001864785088,0.3325569748773755
RF00020,transpred,19279,19279,0,0,1.0,0.8475910655296719,0.8589808292211742
RF00038,transpred,8,8,0,0,1.0,0.0,-0.0004254538718861182
RF00044,transpred,2,2,0,0,1.0,0.39339019189765456,0.3949460906440292
RF00048,transpred,54,54,0,0,1.0,0.3662011260749331,0.4147262613013343
RF00072,transpred,349,349,0,0,1.0,0.45627509022809376,0.5149393648727919
RF00078,transpred,285,285,0,0,1.0,0.212096359018114,0.22233310889136035
RF00088,transpred,242,242,0,0,1.0,0.0006357279084551812,-0.002865934671643447
RF00099,transpred,901,901,0,0,1.0,0.6035983468560479,0.6437985824162508
RF00115,transpred,108,108,0,0,1.0,0.4052212914821292,0.43626756058214344
RF00124,transpred,16,16,0,0,1.0,0.4055986139494425,0.45582352111563124
RF00127,transpred,4087,4087,0,0,1.0,0.20076565799978516,0.21009086045208059
RF00132,transpred,990,990,0,0,1.0,0.4550596439904326,0.5295479353542939
RF00137,transpred,858,858,0,0,1.0,0.615396456424356,0.6397569000557232
RF00138,transpred,999,999,0,0,1.0,0.41035393336400455,0.4898432590142781
RF00145,transpred,454,454,0,0,1.0,0.07055862421081348,0.07176217217237978
RF00153,transpred,522,522,0,0,1.0,0.8967602435152202,0.9021765382086634
RF00156,transpred,4241,4241,0,0,1.0,0.2680510162116353,0.3184468311365629
RF00168,transpred,15562,15559,3,0,0.9998072227220152,0.8627892394052008,0.8706492787328408
RF00170,transpred,85,85,0,0,1.0,0.7956181036874131,0.8148302151671387
RF00171,transpred,19,19,0,0,1.0,0.29435657482756145,0.3112955183766757
RF00172,transpred,267,267,0,0,1.0,0.0031096635855393288,0.0004829562019370134
RF00175,transpred,71,71,0,0,1.0,0.3330030048914047,0.3489325799351889
RF00176,transpred,23,23,0,0,1.0,0.06753615644471053,0.07956644371618239
RF00179,transpred,88,88,0,0,1.0,0.4770789366853305,0.5147106226476675
RF00180,transpred,59,59,0,0,1.0,0.1815912541549656,0.2155663483804816
RF00187,transpred,253,253,0,0,1.0,0.7508790437460189,0.7848133882973274
RF00196,transpred,4,4,0,0,1.0,0.8944444444444445,0.8951565115171727
RF00198,transpred,185,185,0,0,1.0,0.7840387630435716,0.8037241918934411
RF00201,transpred,911,911,0,0,1.0,0.5171968408219806,0.564453906206713
RF00214,transpred,103,103,0,0,1.0,0.7053039232637179,0.718086943546674
RF00215,transpred,30,30,0,0,1.0,0.6732897013528618,0.6990127502541239
RF00218,transpred,553,553,0,0,1.0,0.9551429902600853,0.9596355744406875
RF00225,transpred,7,7,0,0,1.0,0.1671691294283146,0.1665159438788661
RF00228,transpred,20,0,20,0,0.0,,
RF00232,transpred,98,98,0,0,1.0,0.8949943147906134,0.8981073437653101
RF00233,transpred,60,60,0,0,1.0,0.30875955176141623,0.3148080293521733
RF00272,transpred,487,487,0,0,1.0,0.7486942198592406,0.7732830094790022
RF00292,transpred,22,22,0,0,1.0,0.24314914645103325,0.2930705624451951
RF00294,transpred,21,21,0,0,1.0,0.0,-0.0001408307903512557
RF00302,transpred,895,895,0,0,1.0,0.3872559839062925,0.41965578420456495
RF00303,transpred,772,772,0,0,1.0,0.26953713028628945,0.3247536331575726
RF00304,transpred,738,738,0,0,1.0,0.8109267971919418,0.8260568856121814
RF00311,transpred,74,74,0,0,1.0,0.7916557627310791,0.802336806910546
RF00313,transpred,16,16,0,0,1.0,0.9113304093567253,0.9159729839071915
RF00320,transpred,12,12,0,0,1.0,0.6929824561403509,0.7024651063498181
RF00321,transpred,5903,5903,0,0,1.0,0.05042503111748872,0.059194473617458776
RF00323,transpred,3,3,0,0,1.0,0.9090909090909091,0.9126509337680154
RF00329,transpred,104,104,0,0,1.0,0.5301831905737202,0.5475195319731221
RF00336,transpred,23,23,0,0,1.0,0.0032813781788351105,0.002600533278595614
RF00338,transpred,5,5,0,0,1.0,0.33045648604269295,0.36045639388708745
RF00341,transpred,512,512,0,0,1.0,0.5681384166024797,0.5906755489988046
RF00348,transpred,91,91,0,0,1.0,0.1256349833655817,0.16528230539021257
RF00349,transpred,602,602,0,0,1.0,0.7104195988820958,0.7456579426911337
RF00355,transpred,222,222,0,0,1.0,0.5059893394334596,0.5803082500612886
RF00368,transpred,231,231,0,0,1.0,0.4327535871902152,0.48824667090466184
RF00374,transpred,44,44,0,0,1.0,0.8181617414006618,0.8312709913128749
RF00383,transpred,196,196,0,0,1.0,0.11297976721419771,0.12956169871152173
RF00384,transpred,11,11,0,0,1.0,0.0371900826446281,0.032137480063765406
RF00389,transpred,41,41,0,0,1.0,0.0,-0.0011994764573846222
RF00393,transpred,1221,1221,0,0,1.0,0.8966279521062511,0.9039759261299284
RF00403,transpred,557,557,0,0,1.0,0.764737655078177,0.7857490421338881
RF00420,transpred,726,726,0,0,1.0,0.4262129713490203,0.48833622199552357
RF00421,transpred,528,528,0,0,1.0,0.7715384123882207,0.7922220826117371
RF00424,transpred,679,679,0,0,1.0,0.7923293234981298,0.80714376093991
RF00427,transpred,354,354,0,0,1.0,0.5404085389058563,0.5595257748222198
RF00434,transpred,28,28,0,0,1.0,0.2763172978098341,0.2846812890886474
RF00448,transpred,8,8,0,0,1.0,0.04565265364669535,0.0449088758622742
RF00449,transpred,112,1,111,0,0.008928571428571428,0.0,-0.00031083347308542023
RF00457,transpred,93,92,1,0,0.989247311827957,0.7407322100932999,0.7640649636719689
RF00459,transpred,2777,224,2553,0,0.0806625855239467,0.4191278524440504,0.45186631148279177
RF00460,transpred,344,344,0,0,1.0,0.9170092549219195,0.9227722984505079
