family,model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
RF00006,rnafold,25,25,0,0,1.0,0.37347073610450077,0.3811176145458671
RF00020,rnafold,25,25,0,0,1.0,0.6258051828819728,0.6266527329973614
RF00038,rnafold,8,8,0,0,1.0,0.5035219542362399,0.5484755806023852
RF00044,rnafold,2,2,0,0,1.0,0.9636904761904761,0.9637676310139611
RF00048,rnafold,25,25,0,0,1.0,0.6735117720642485,0.6910522691096497
RF00072,rnafold,25,25,0,0,1.0,0.6011783256107726,0.6137913841522787
RF00078,rnafold,25,25,0,0,1.0,0.6668352915432386,0.6727465207052409
RF00088,rnafold,25,25,0,0,1.0,0.3145243186920606,0.32764071881080903
RF00099,rnafold,25,25,0,0,1.0,0.10839552877057215,0.18651190976587217
RF00115,rnafold,25,25,0,0,1.0,0.5244273034792291,0.5237229932331445
RF00124,rnafold,16,16,0,0,1.0,0.39575179453735687,0.41998104486459586
RF00127,rnafold,25,25,0,0,1.0,0.6905326342449891,0.6996266555767164
RF00132,rnafold,25,25,0,0,1.0,0.07450216503720397,0.12664633947657827
RF00137,rnafold,25,25,0,0,1.0,0.27357753919423755,0.31730460245705316
RF00138,rnafold,25,25,0,0,1.0,0.4227758320314428,0.43638762846239326
RF00145,rnafold,25,25,0,0,1.0,0.10188733105974483,0.11310970385218745
RF00153,rnafold,25,25,0,0,1.0,0.03975120304532069,0.057749215906220196
RF00156,rnafold,25,25,0,0,1.0,0.1556886958528607,0.16291810137976384
RF00168,rnafold,25,25,0,0,1.0,0.6331838773289528,0.6329482609112282
RF00170,rnafold,25,25,0,0,1.0,0.39290056246616617,0.39313306687921395
RF00171,rnafold,19,19,0,0,1.0,0.32980135947120426,0.332294723233018
RF00172,rnafold,25,25,0,0,1.0,0.29791686860025185,0.3027149854155799
RF00175,rnafold,25,25,0,0,1.0,0.875889328063241,0.8745631602746312
RF00176,rnafold,23,23,0,0,1.0,0.5390824065433784,0.5382103953487738
RF00179,rnafold,25,25,0,0,1.0,0.33077492631024197,0.32846505674472204
RF00180,rnafold,25,25,0,0,1.0,0.29300193923723333,0.29363223945339667
RF00187,rnafold,25,25,0,0,1.0,0.18318613862551572,0.2376836208402554
RF00196,rnafold,4,4,0,0,1.0,0.953416149068323,0.9551032030740967
RF00198,rnafold,25,25,0,0,1.0,0.6831488058791441,0.6934591823749653
RF00201,rnafold,25,25,0,0,1.0,0.2773658258632972,0.36457633205118994
RF00214,rnafold,25,25,0,0,1.0,0.30825702845298286,0.3075671743402036
RF00215,rnafold,25,25,0,0,1.0,0.36652375455032,0.3657973939638054
RF00218,rnafold,25,25,0,0,1.0,0.07238519591678305,0.09897459841333507
RF00225,rnafold,7,7,0,0,1.0,0.08080911024459413,0.07970115293440992
RF00228,rnafold,20,20,0,0,1.0,0.40058383112049006,0.41790007095577497
RF00232,rnafold,25,25,0,0,1.0,0.1256466477159454,0.12252542971964474
RF00233,rnafold,25,25,0,0,1.0,0.6852822338644741,0.6851387724559932
RF00272,rnafold,25,25,0,0,1.0,0.19166080424671975,0.19029954935360444
RF00292,rnafold,22,22,0,0,1.0,0.0,-0.001547087944272727
RF00294,rnafold,21,21,0,0,1.0,0.0,-0.0010212742638071395
RF00302,rnafold,25,25,0,0,1.0,0.44016782730704085,0.4400250492843956
RF00303,rnafold,25,25,0,0,1.0,0.22726505743216407,0.23660680102814072
RF00304,rnafold,25,25,0,0,1.0,0.3891532615634699,0.3888501883941771
RF00311,rnafold,25,25,0,0,1.0,0.18734006047335594,0.25891023670330654
RF00313,rnafold,16,16,0,0,1.0,0.29574387848512973,0.39167829029379525
RF00320,rnafold,12,12,0,0,1.0,0.21605315831122285,0.2712735258276422
RF00321,rnafold,25,25,0,0,1.0,0.011265306122448979,0.013376920079950195
RF00323,rnafold,3,3,0,0,1.0,0.15151515151515152,0.177607297417779
RF00329,rnafold,25,25,0,0,1.0,0.43075472068713255,0.45840285756620586
RF00336,rnafold,23,23,0,0,1.0,0.1152756449643691,0.12932868654689614
RF00338,rnafold,5,5,0,0,1.0,0.48392603129445233,0.5355067076625417
RF00341,rnafold,25,25,0,0,1.0,0.5569281004679489,0.5592602894386491
RF00348,rnafold,25,25,0,0,1.0,0.0,-0.0009798439796694148
RF00349,rnafold,25,25,0,0,1.0,0.08389892443954576,0.1167034097117061
RF00355,rnafold,25,25,0,0,1.0,0.026888888888888893,0.04011938856387436
RF00368,rnafold,25,25,0,0,1.0,0.6458192752463199,0.647346010019231
RF00374,rnafold,25,25,0,0,1.0,0.8116891711309393,0.8114474280841015
RF00383,rnafold,25,25,0,0,1.0,0.2396535643888506,0.25508340807272123
RF00384,rnafold,11,11,0,0,1.0,0.5813183701648612,0.5812847884454455
RF00389,rnafold,25,25,0,0,1.0,0.5015014538204412,0.5002141184376937
RF00393,rnafold,25,25,0,0,1.0,0.3099578133682923,0.3080651858671181
RF00403,rnafold,25,25,0,0,1.0,0.6082303456748176,0.6211613742933637
RF00420,rnafold,25,25,0,0,1.0,0.276139011004219,0.28268479643879985
RF00421,rnafold,25,25,0,0,1.0,0.5515715597784736,0.563510174072438
RF00424,rnafold,25,25,0,0,1.0,0.44705861740294367,0.446824796845614
RF00427,rnafold,25,25,0,0,1.0,0.497902499316764,0.49613973546033024
RF00434,rnafold,25,25,0,0,1.0,0.6234859792516576,0.6234447483374375
RF00448,rnafold,8,8,0,0,1.0,0.1146287367015319,0.11882699022848327
RF00449,rnafold,25,25,0,0,1.0,0.05329329144692279,0.05758830323623937
RF00457,rnafold,25,25,0,0,1.0,0.14163274442356777,0.1454925562155935
RF00459,rnafold,25,25,0,0,1.0,0.033657130011977204,0.03270670188714497
RF00460,rnafold,25,25,0,0,1.0,0.30925325230353695,0.3068274269771008
RF00463,rnafold,16,16,0,0,1.0,0.2242110385446853,0.22027678567024792
RF00470,rnafold,25,25,0,0,1.0,0.42984951241225977,0.4557306433048967
RF00484,rnafold,25,25,0,0,1.0,0.05772223577666844,0.05534461588603153
RF00495,rnafold,25,25,0,0,1.0,0.012285122778494808,0.009770104988099361
RF00504,rnafold,25,25,0,0,1.0,0.4523111340160124,0.45392782485406463
RF00520,rnafold,25,25,0,0,1.0,0.32227624160867696,0.3222213224283072
RF00522,rnafold,25,25,0,0,1.0,0.45836923860453266,0.46110917101670706
RF00533,rnafold,25,25,0,0,1.0,0.013511705685618729,0.01788884878591466
RF00536,rnafold,25,25,0,0,1.0,0.012207792207792207,0.020193270341476905
RF00537,rnafold,25,25,0,0,1.0,0.007058823529411765,0.010652164469365377
RF00538,rnafold,25,25,0,0,1.0,0.03710663129973475,0.0405739021699123
RF00541,rnafold,16,16,0,0,1.0,0.3880555884806662,0.39297182809199194
RF00549,rnafold,25,25,0,0,1.0,0.12531203766497312,0.12425979211499144
RF00550,rnafold,25,25,0,0,1.0,0.16101689950920955,0.15804395288839257
RF00559,rnafold,25,25,0,0,1.0,0.6217731312635686,0.6238374841843728
RF00582,rnafold,25,25,0,0,1.0,0.4690844238868611,0.4679418482521025
RF00614,rnafold,25,25,0,0,1.0,0.4513940491025806,0.45014149895353894
RF00616,rnafold,25,25,0,0,1.0,0.7933550755666466,0.8009289593138301
RF00620,rnafold,25,25,0,0,1.0,0.7459726049009633,0.7461488967573815
RF00621,rnafold,25,25,0,0,1.0,0.12476552878694924,0.12261773106418997
RF00630,rnafold,25,25,0,0,1.0,0.8615149827595477,0.8667550751674699
RF00635,rnafold,25,25,0,0,1.0,0.0,0.0
RF00636,rnafold,25,25,0,0,1.0,0.10107393484762181,0.10369071527679222
RF00652,rnafold,25,25,0,0,1.0,0.0,0.0
RF00782,rnafold,25,25,0,0,1.0,0.0435047619047619,0.04546933549377862
RF00807,rnafold,17,17,0,0,1.0,0.7806174891891937,0.7790810880020543
RF00940,rnafold,4,4,0,0,1.0,0.5280665280665281,0.5244055512097258
