family_a	family_b	best_evalue
RF00002	RF02540	3.9e-20
RF00002	RF02541	7.2e-36
RF00003	RF00488	3.9e-11
RF00003	RF00846	0.0045
RF00003	RF03308	0.0037
RF00004	RF00017	1.1e-09
RF00004	RF01855	0.0074
RF00004	RF04277	1e-08
RF00005	RF00023	0.0023
RF00005	RF00391	4.9e-13
RF00005	RF01684	0.0083
RF00005	RF01852	8.5e-14
RF00005	RF02032	7.1e-14
RF00005	RF02115	4.3e-08
RF00005	RF02223	3.2e-13
RF00005	RF02435	1.2e-06
RF00007	RF01028	0.0037
RF00007	RF02182	0.0062
RF00007	RF03323	0.0027
RF00007	RF03972	0.0012
RF00007	RF04106	0.0014
RF00007	RF04111	0.00032
RF00008	RF00163	0.0039
RF00009	RF00030	2e-10
RF00009	RF00895	1.2e-07
RF00009	RF01577	1.3e-12
RF00009	RF03588	0.0016
RF00009	RF03843	8.6e-11
RF00009	RF04167	0.00055
RF00010	RF00011	9.9e-16
RF00010	RF00373	7.7e-78
RF00010	RF01469	0.0012
RF00010	RF02357	9.6e-05
RF00010	RF04106	0.0088
RF00011	RF00373	1.3e-12
RF00011	RF03000	0.00046
RF00012	RF01681	0.0032
RF00012	RF01846	1.9e-14
RF00012	RF01847	6e-19
RF00012	RF01848	7.9e-20
RF00014	RF03600	0.0064
RF00015	RF00618	0.00011
RF00015	RF01457	0.0099
RF00015	RF01629	0.0081
RF00016	RF00208	0.0043
RF00016	RF00325	9.3e-06
RF00016	RF00333	0.0015
RF00016	RF00358	0.0035
RF00016	RF00493	0.0089
RF00016	RF01178	0.0061
RF00016	RF01588	1.8e-07
RF00016	RF01866	4.4e-06
RF00016	RF02301	0.00059
RF00016	RF02335	0.0025
RF00017	RF00169	0.00052
RF00017	RF01005	0.01
RF00017	RF01502	7.5e-07
RF00017	RF01570	5.9e-19
RF00017	RF01854	3.6e-14
RF00017	RF01855	3.6e-27
RF00017	RF01856	7.8e-23
RF00017	RF01857	5.3e-18
RF00017	RF03556	0.00026
RF00017	RF03639	0.0004
RF00017	RF03654	0.0017
RF00017	RF03906	1.2e-05
RF00017	RF04236	1.2e-05
RF00017	RF04277	7.8e-08
RF00017	RF04283	1.2e-11
RF00018	RF00084	3.7e-09
RF00018	RF00166	3.2e-06
RF00018	RF00195	2e-05
RF00018	RF02066	0.0095
RF00018	RF02353	0.00052
RF00018	RF02767	7.7e-07
RF00019	RF01656	0.0021
RF00019	RF03206	0.0029
RF00019	RF03516	0.006
RF00019	RF03714	0.003
RF00019	RF04210	0.00027
RF00021	RF00514	0.0062
RF00021	RF01469	0.00018
RF00021	RF01812	9.2e-06
RF00021	RF02399	9.8e-06
RF00021	RF02611	0.0078
RF00021	RF02871	0.00025
RF00022	RF02278	0.0072
RF00022	RF02422	0.00015
RF00022	RF02630	0.0012
RF00022	RF02631	4e-05
RF00022	RF02732	0.0018
RF00022	RF02837	0.00067
RF00022	RF02869	0.0046
RF00022	RF02871	0.00068
RF00023	RF00499	1.4e-06
RF00023	RF01684	0.005
RF00023	RF01849	1.4e-10
RF00023	RF01850	2.4e-19
RF00023	RF01851	3e-12
RF00023	RF01852	0.00029
RF00023	RF02194	3.3e-09
RF00023	RF02223	0.00013
RF00023	RF02553	0.00035
RF00024	RF01005	8.9e-06
RF00024	RF01812	2.1e-06
RF00024	RF02905	0.00028
RF00024	RF03366	0.00016
RF00024	RF03600	5e-05
RF00024	RF04106	0.0021
RF00027	RF00254	8.4e-05
RF00027	RF00707	3.7e-05
RF00027	RF00827	0.0064
RF00027	RF00832	0.00036
RF00027	RF00891	6.1e-05
RF00027	RF00911	0.0004
RF00027	RF00920	0.00039
RF00027	RF00931	2.4e-05
RF00027	RF01007	0.0004
RF00027	RF01061	0.00019
RF00027	RF01936	6.1e-05
RF00027	RF01939	0.0029
RF00027	RF02520	8.5e-07
RF00027	RF03375	3e-06
RF00027	RF03428	0.0098
RF00027	RF03512	1e-07
RF00027	RF03516	0.00012
RF00027	RF03583	0.0006
RF00027	RF03588	8.1e-06
RF00027	RF03629	0.00032
RF00027	RF03742	0.0096
RF00027	RF03747	0.0025
RF00027	RF03756	0.00021
RF00027	RF03777	8.7e-06
RF00027	RF03781	2.2e-05
RF00027	RF03814	1.8e-07
RF00027	RF03851	1.5e-05
RF00027	RF03857	1.7e-06
RF00027	RF03859	7.9e-06
RF00027	RF03877	7.6e-05
RF00027	RF03891	0.0041
RF00027	RF03896	0.00098
RF00027	RF03913	7.4e-05
RF00027	RF03978	0.00022
RF00027	RF03980	2e-07
RF00027	RF03987	5e-06
RF00027	RF03993	0.00037
RF00027	RF04003	2.5e-05
RF00027	RF04038	6.3e-06
RF00027	RF04049	4.2e-07
RF00027	RF04069	1.2e-07
RF00027	RF04139	0.00061
RF00027	RF04161	5.3e-06
RF00027	RF04164	0.0003
RF00027	RF04185	3.7e-05
RF00027	RF04187	2.3e-06
RF00027	RF04203	7.6e-05
RF00027	RF04226	0.0011
RF00027	RF04235	0.00022
RF00027	RF04241	0.00022
RF00027	RF04289	9.4e-16
RF00028	RF00029	0.00012
RF00028	RF01469	0.0003
RF00030	RF00373	1.8e-08
RF00030	RF02472	7.3e-16
RF00031	RF01991	9.9e-06
RF00031	RF04148	0.0031
RF00032	RF03955	0.0016
RF00033	RF02423	0.0078
RF00033	RF02630	0.00038
RF00033	RF02631	0.0007
RF00033	RF02784	3.3e-05
RF00033	RF02837	0.00053
RF00034	RF01808	0.0071
RF00034	RF02766	0.00065
RF00034	RF02837	0.00057
RF00034	RF03630	0.0023
RF00035	RF02262	0.0085
RF00036	RF01390	1.5e-21
RF00036	RF03371	0.0037
RF00036	RF03616	0.00074
RF00036	RF03792	1.3e-06
RF00036	RF03846	0.0028
RF00037	RF01873	0.001
RF00037	RF02253	0.0044
RF00037	RF04265	0.0088
RF00041	RF03822	0.0076
RF00042	RF00110	0.0026
RF00042	RF00756	0.004
RF00042	RF01007	0.00057
RF00042	RF01087	1.1e-06
RF00042	RF01089	2.3e-05
RF00042	RF03198	0.0059
RF00042	RF03569	0.0027
RF00042	RF03766	0.00094
RF00042	RF03972	0.0029
RF00042	RF04054	0.0027
RF00043	RF00107	0.0012
RF00043	RF01809	1e-05
RF00043	RF01811	8.6e-08
RF00043	RF02673	0.00036
RF00045	RF01271	1.7e-05
RF00045	RF01512	0.0023
RF00045	RF03873	0.0051
RF00046	RF00609	1.2e-05
RF00047	RF00685	0.0053
RF00047	RF00743	9.7e-06
RF00047	RF00795	0.0016
RF00047	RF00813	0.00036
RF00047	RF00828	0.0032
RF00047	RF00844	0.0062
RF00047	RF00854	0.0034
RF00047	RF03244	0.0005
RF00047	RF03594	0.0076
RF00047	RF03634	2.5e-05
RF00047	RF03716	0.0016
RF00047	RF03818	0.0092
RF00047	RF04007	0.0044
