family_a	family_b	split_a	split_b	status	best_evalue
RF00002	RF02540	train	train	OK	3.9e-20
RF00002	RF02541	train	train	OK	7.2e-36
RF00003	RF00488	train	train	OK	3.9e-11
RF00003	RF00846	train	train	OK	0.0045
RF00003	RF03308	train	train	OK	0.0037
RF00004	RF00017	train	train	OK	1.1e-09
RF00004	RF01855	train	train	OK	0.0074
RF00004	RF04277	train	train	OK	1e-08
RF00005	RF00023	train	train	OK	0.0023
RF00005	RF00391	train	train	OK	4.9e-13
RF00005	RF01684	train	train	OK	0.0083
RF00005	RF01852	train	train	OK	8.5e-14
RF00005	RF02032	train	train	OK	7.1e-14
RF00005	RF02115	train	train	OK	4.3e-08
RF00005	RF02223	train	train	OK	3.2e-13
RF00005	RF02435	train	train	OK	1.2e-06
RF00007	RF01028	train	train	OK	0.0037
RF00007	RF02182	train	train	OK	0.0062
RF00007	RF03323	train	train	OK	0.0027
RF00007	RF03972	train	train	OK	0.0012
RF00007	RF04106	train	train	OK	0.0014
RF00007	RF04111	train	train	OK	0.00032
RF00008	RF00163	train	train	OK	0.0039
RF00009	RF00030	train	train	OK	2e-10
RF00009	RF00895	train	train	OK	1.2e-07
RF00009	RF01577	train	train	OK	1.3e-12
RF00009	RF03588	train	train	OK	0.0016
RF00009	RF03843	train	train	OK	8.6e-11
RF00009	RF04167	train	train	OK	0.00055
RF00010	RF00011	train	train	OK	9.9e-16
RF00010	RF00373	train	train	OK	7.7e-78
RF00010	RF01469	train	train	OK	0.0012
RF00010	RF02357	train	train	OK	9.6e-05
RF00010	RF04106	train	train	OK	0.0088
RF00011	RF00373	train	train	OK	1.3e-12
RF00011	RF03000	train	train	OK	0.00046
RF00012	RF01681	train	train	OK	0.0032
RF00012	RF01846	train	train	OK	1.9e-14
RF00012	RF01847	train	train	OK	6e-19
RF00012	RF01848	train	train	OK	7.9e-20
RF00014	RF03600	train	train	OK	0.0064
RF00015	RF00618	train	train	OK	0.00011
RF00015	RF01457	train	train	OK	0.0099
RF00015	RF01629	train	train	OK	0.0081
RF00016	RF00208	train	train	OK	0.0043
RF00016	RF00325	train	train	OK	9.3e-06
RF00016	RF00333	train	train	OK	0.0015
RF00016	RF00358	train	train	OK	0.0035
RF00016	RF00493	train	train	OK	0.0089
RF00016	RF01178	train	train	OK	0.0061
RF00016	RF01588	train	train	OK	1.8e-07
RF00016	RF01866	train	train	OK	4.4e-06
RF00016	RF02301	train	train	OK	0.00059
RF00016	RF02335	train	train	OK	0.0025
RF00017	RF00169	train	train	OK	0.00052
RF00017	RF01005	train	train	OK	0.01
RF00017	RF01502	train	train	OK	7.5e-07
RF00017	RF01570	train	train	OK	5.9e-19
RF00017	RF01854	train	train	OK	3.6e-14
RF00017	RF01855	train	train	OK	3.6e-27
RF00017	RF01856	train	train	OK	7.8e-23
RF00017	RF01857	train	train	OK	5.3e-18
RF00017	RF03556	train	train	OK	0.00026
RF00017	RF03639	train	train	OK	0.0004
RF00017	RF03654	train	train	OK	0.0017
RF00017	RF03906	train	train	OK	1.2e-05
RF00017	RF04236	train	train	OK	1.2e-05
RF00017	RF04277	train	train	OK	7.8e-08
RF00017	RF04283	train	train	OK	1.2e-11
RF00018	RF00084	train	train	OK	3.7e-09
RF00018	RF00166	train	train	OK	3.2e-06
RF00018	RF00195	train	train	OK	2e-05
RF00018	RF02066	train	train	OK	0.0095
RF00018	RF02353	train	train	OK	0.00052
RF00018	RF02767	train	train	OK	7.7e-07
RF00019	RF01656	train	train	OK	0.0021
RF00019	RF03206	train	train	OK	0.0029
RF00019	RF03516	train	train	OK	0.006
